codigo_ibge,nome_municipio
11009,Poranga
11108,Porteiras
11207,Potengi
11231,Potiretama
11264,Quiterianópolis
11306,Quixadá
11355,Quixelô
11405,Quixeramobim
11504,Quixeré
11603,Redenção
11702,Reriutaba
11801,Russas
11900,Saboeiro
11959,Salitre
12205,Santa Quitéria
12007,Santana do Acaraú
12106,Santana do Cariri
12304,São Benedito
12403,São Gonçalo do Amarante
12502,São João do Jaguaribe
12601,São Luís do Curu
12700,Senador Pompeu
12809,Senador Sá
12908,Sobral
13005,Solonópole
13104,Tabuleiro do Norte
13203,Tamboril
13252,Tarrafas
13302,Tauá
13351,Tejuçuoca
13401,Tianguá
13500,Trairi
13559,Tururu
13609,Ubajara
13708,Umari
13757,Umirim
13807,Uruburetama
13906,Uruoca
13955,Varjota
14003,Várzea Alegre
14102,Viçosa do Ceará
109,Acari
208,Açu
307,Afonso Bezerra
406,Água Nova
505,Alexandria
604,Almino Afonso
703,Alto do Rodrigues
802,Angicos
901,Antônio Martins
1008,Apodi
1107,Areia Branca
1206,Arês
1404,Baía Formosa
1453,Baraúna
1503,Barcelona
1602,Bento Fernandes
1651,Bodó
1701,Bom Jesus
1800,Brejinho
1859,Caiçara do Norte
1909,Caiçara do Rio do Vento
2006,Caicó
1305,Campo Grande
2105,Campo Redondo
2204,Canguaretama
2303,Caraúbas
2402,Carnaúba dos Dantas
2501,Carnaubais
2600,Ceará-Mirim
2709,Cerro Corá
2808,Coronel Ezequiel
2907,Coronel João Pessoa
3004,Cruzeta
3103,Currais Novos
3202,Doutor Severiano
3301,Encanto
3400,Equador
3509,Espírito Santo
3608,Extremoz
3707,Felipe Guerra
3756,Fernando Pedroza
3806,Florânia
3905,Francisco Dantas
4002,Frutuoso Gomes
4101,Galinhos
4200,Goianinha
4309,Governador Dix-Sept Rosado
4408,Grossos
4507,Guamaré
4606,Ielmo Marinho
4705,Ipanguaçu
4804,Ipueira
4853,Itajá
4903,Itaú
5009,Jaçanã
5108,Jandaíra
5207,Janduís
5306,Januário Cicco
5405,Japi
5504,Jardim de Angicos
5603,Jardim de Piranhas
5702,Jardim do Seridó
5801,João Câmara
5900,João Dias
6007,José da Penha
6106,Jucurutu
6155,Jundiá
6205,Lagoa d'Anta
6304,Lagoa de Pedras
6403,Lagoa de Velhos
6502,Lagoa Nova
6601,Lagoa Salgada
6700,Lajes
6809,Lajes Pintadas
6908,Lucrécia
7005,Luís Gomes
7104,Macaíba
7203,Macau
7252,Major Sales
7302,Marcelino Vieira
7401,Martins
7500,Maxaranguape
7609,Messias Targino
7708,Montanhas
7807,Monte Alegre
7906,Monte das Gameleiras
8003,Mossoró
8102,Natal
8201,Nísia Floresta
8300,Nova Cruz
8409,Olho d'Água do Borges
8508,Ouro Branco
8607,Paraná
8706,Paraú
8805,Parazinho
8904,Parelhas
3251,Parnamirim
9100,Passa e Fica
9209,Passagem
9308,Patu
9407,Pau dos Ferros
9506,Pedra Grande
9605,Pedra Preta
9704,Pedro Avelino
9803,Pedro Velho
9902,Pendências
10009,Pilões
10108,Poço Branco
10207,Portalegre
10256,Porto do Mangue
10405,Pureza
10504,Rafael Fernandes
10603,Rafael Godeiro
10702,Riacho da Cruz
10801,Riacho de Santana
10900,Riachuelo
8953,Rio do Fogo
11007,Rodolfo Fernandes
11106,Ruy Barbosa
11205,Santa Cruz
9332,Santa Maria
11403,Santana do Matos
11429,Santana do Seridó
11502,Santo Antônio
11601,São Bento do Norte
11700,São Bento do Trairí
11809,São Fernando
11908,São Francisco do Oeste
12005,São Gonçalo do Amarante
12104,São João do Sabugi
12203,São José de Mipibu
12302,São José do Campestre
12401,São José do Seridó
12500,São Miguel
12559,São Miguel do Gostoso
12609,São Paulo do Potengi
12708,São Pedro
12807,São Rafael
12906,São Tomé
13003,São Vicente
13102,Senador Elói de Souza
13201,Senador Georgino Avelino
10306,Serra Caiada
13300,Serra de São Bento
13359,Serra do Mel
13409,Serra Negra do Norte
13508,Serrinha
13557,Serrinha dos Pintos
13607,Severiano Melo
13706,Sítio Novo
13805,Taboleiro Grande
13904,Taipu
14001,Tangará
14100,Tenente Ananias
14159,Tenente Laurentino Cruz
11056,Tibau
14209,Tibau do Sul
14308,Timbaúba dos Batistas
14407,Touros
14456,Triunfo Potiguar
14506,Umarizal
14605,Upanema
14704,Várzea
14753,Venha-Ver
14803,Vera Cruz
14902,Viçosa
15008,Vila Flor
106,Água Branca
205,Aguiar
304,Alagoa Grande
403,Alagoa Nova
502,Alagoinha
536,Alcantil
577,Algodão de Jandaíra
601,Alhandra
734,Amparo
775,Aparecida
809,Araçagi
908,Arara
1005,Araruna
1104,Areia
1153,Areia de Baraúnas
1203,Areial
1302,Aroeiras
1351,Assunção
1401,Baía da Traição
1500,Bananeiras
1534,Baraúna
1609,Barra de Santa Rosa
1575,Barra de Santana
1708,Barra de São Miguel
1807,Bayeux
1906,Belém
2003,Belém do Brejo do Cruz
2052,Bernardino Batista
2102,Boa Ventura
2151,Boa Vista
